date,gdp,gdp_growth,entropy,year,crisis
2015-01-01,18666.621,0.03969299498818479,2.4563025665496685,2015,0
2015-04-01,18782.243,0.032790878609270546,2.4426140721883516,2015,0
2015-07-01,18857.418,0.024473213664345517,2.4397202328661622,2015,0
2015-10-01,18892.206,0.02119861312664817,2.439565311659019,2015,0
2016-01-01,19001.69,0.017950168913805964,2.446316077025207,2016,0
2016-04-01,19062.709,0.01493250832714721,2.4475841964331853,2016,0
2016-07-01,19197.938,0.018057615310855146,2.4470943648207113,2016,0
2016-10-01,19304.352,0.021815663030564147,2.4433642581899226,2016,0
2017-01-01,19398.343,0.020874616941966906,2.4435173214417074,2017,0
2017-04-01,19506.949,0.023304137937582903,2.4481487514711735,2017,0
2017-07-01,19660.766,0.024108214121745908,2.4479690700729795,2017,0
2017-10-01,19882.352,0.029941434967617697,2.4499425932518393,2017,0
2018-01-01,20044.077,0.03328810094759116,2.448510818048697,2018,0
2018-04-01,20150.476,0.032989628465220244,2.4573121976804604,2018,0
2018-07-01,20276.154,0.03130030640718684,2.4570975082374393,2018,0
2018-10-01,20304.874,0.02125110751484538,2.4541392057305558,2018,0
2019-01-01,20431.641,0.019335587266003706,2.4541681568932394,2019,0
2019-04-01,20602.275,0.022421256946982382,2.455558441986398,2019,0
2019-07-01,20843.322,0.02797216868642849,2.463348176709294,2019,0
2019-10-01,20985.448,0.03351776524198091,2.46733734245127,2019,0
2020-01-01,20709.212,0.013585350290757248,2.466269327854486,2020,0
2020-04-01,19077.992,-0.0739861495878491,2.455733121938468,2020,0
2020-07-01,20558.879,-0.013646720997737227,2.39056590407214,2020,0
2020-10-01,20791.917,-0.009222152417236895,2.373792276548544,2020,0
2021-01-01,21082.134,0.018007541764505586,2.3401435890735174,2021,0
2021-04-01,21440.929,0.12385669309432568,2.329838059723808,2021,0
2021-07-01,21617.828,0.051508109950936465,2.1654289348327014,2021,0
2021-10-01,21988.737,0.05756179192135091,2.17284447968512,2021,0
2022-01-01,21932.71,0.04034582077886428,2.1956805456000685,2022,0
2022-04-01,21967.045,0.024537929303342976,2.221354010502257,2022,0
2022-07-01,22125.625,0.023489732641040373,2.2248712340416104,2022,0
2022-10-01,22278.345,0.013170742821654535,2.2182496731401047,2022,0
2023-01-01,22439.607,0.023111462286238282,2.1820205932090353,2023,0
2023-04-01,22580.499,0.027926104762839188,2.2035485566010005,2023,0
2023-07-01,22840.989,0.032331922827038895,2.202537856427506,2023,0
2023-10-01,23033.78,0.03390893713155063,2.2347964733404297,2023,0
2024-01-01,23082.119,0.028632943527041155,2.2810730272963893,2024,0
2024-04-01,23286.508,0.031266315239534936,2.2974813771530855,2024,0
2024-07-01,23478.57,0.027913896372876,2.4192779046326205,2024,0
2024-10-01,23586.542,0.023997884845648576,2.4294088260124296,2024,0
2025-01-01,23548.21,0.020192730138857806,2.455566494113124,2025,0
2025-04-01,23770.976,0.020804665087611918,2.460544072051382,2025,0
2025-07-01,24026.834,0.023351677721428432,2.458699348991937,2025,0
2025-10-01,24111.83,0.022270666043373355,2.4586482526708835,2025,0
